nMillisecondsElapsed,nBlue,nGreen,nRed,nAlpha,nIr
12211,0.500001115816975,0.412796697496878,0.417314050884737,0.405726791396464,0.235594749440729
12278,0.500003312753253,0.411658907426626,0.416515287568743,0.405260851241632,0.235128422280949
12341,0.5,0.411754562885025,0.41683421619069,0.405154175506414,0.232986728332743
12410,0.405140823987502,0.500001109694459,0.411816677190401,0.416449506387437,0.232859446623309
12476,0.5,0.41263659185048,0.417356240133776,0.40600690765973,0.234100070015303
12540,0.404882063056843,0.500001109694459,0.411907821065478,0.416425129979363,0.231664069812898
12612,0.50000215931962,0.412694939289337,0.417357261233685,0.405693038606027,0.234360856781963
12674,0.40487068125064,0.500001109694459,0.411862619062873,0.416529114163816,0.232776142551549
12742,0.5,0.41256579759913,0.416764356651563,0.405163390217938,0.23437520407799
12810,0.500003359948429,0.412033107611606,0.416682821272903,0.404921532526626,0.234185897138399
12876,0.417059342713896,0.405017620492407,0.500002049697264,0.41193048031308,0.233948492485042
12943,0.5,0.411706266561693,0.416703818409497,0.404926683302682,0.2339080317436
13015,0.416570158303389,0.404437285036761,0.500002106164148,0.411326155652437,0.233668914365324
13079,0.412602127248524,0.416716650653827,0.404782958058964,0.500002014938507,0.232643476200386
13146,0.5,0.412563657988508,0.416783884288777,0.405787401357939,0.234956100151606
13208,0.500001010708155,0.412146613694229,0.417120912077955,0.405604295197023,0.234704291045504
13278,0.405114626930163,0.500000993169809,0.411777070588515,0.416586262172347,0.23446764931159
13340,0.5,0.412158654786474,0.416653361083853,0.405603862071878,0.233215847624729
13407,0.5,0.411753305053884,0.417094314807944,0.405022359370134,0.233271794569729
13472,0.5,0.411768598032058,0.416682975614416,0.404707730832266,0.234334122134901
13540,0.500001073517469,0.411471404193525,0.416186614682672,0.404394594747471,0.234886627765989
13611,0.500001073517469,0.411877616745033,0.416247290986674,0.404623472324534,0.234758250869225
13679,0.417080637487819,0.404966469858557,0.500001011624211,0.41211849497541,0.234682545119946
13744,0.5,0.411989828945435,0.416439810198727,0.404635633591654,0.232580392193322
13814,0.417129695966246,0.405093934419787,0.500001011624211,0.412300845116366,0.233721842940751
13869,0.500001073517469,0.411772571258732,0.41609066857128,0.404555808237975,0.233849440556877
13946,0.416952777636131,0.405369392693849,0.500001011624211,0.412143245941206,0.234414654599036
14010,0.500002026371797,0.411606717320863,0.416385032462241,0.404756862756472,0.233833288047825
14085,0.5,0.41210672263787,0.416797213153139,0.404630332532822,0.23167903994682
14137,0.500002091818881,0.411541975475168,0.415759043333701,0.404629509302157,0.233123861322899
14213,0.416472639951715,0.404868912189031,0.500001047553607,0.411904213418605,0.234358483405024
14272,0.412021462437311,0.41655225605406,0.404947821802172,0.500003066108595,0.234456585351324
14342,0.5,0.411437508438748,0.416406934544338,0.404262820673488,0.235067002174524
14413,0.40401986240813,0.500003129515262,0.411055383055434,0.415816502796573,0.233383767233561
14475,0.50000310325404,0.411658873096622,0.416585598395952,0.40533203271446,0.233570329898644
14544,0.5,0.412320326175202,0.416718551873653,0.405649607883519,0.23331159711096
14619,0.5,0.41222228053886,0.416834804078398,0.40542414338348,0.233497341296337
14669,0.5,0.412153882395854,0.416922343446604,0.404897647121749,0.233502596775243
14743,0.411559555691683,0.416160265888198,0.404951391263239,0.500002110893198,0.233436914467451
14812,0.416504873179011,0.404795750772427,0.500001041582621,0.411469282385762,0.23518667192148
14872,0.5,0.412513942989252,0.416859503170677,0.405140618024423,0.233162857030179
14942,0.5,0.412390430405627,0.416658713230675,0.405343652557743,0.233167572417287
15009,0.5,0.412028296638935,0.416722047811931,0.405205380137706,0.233706303192619
15085,0.416351961173457,0.404888935231184,0.500002065070112,0.411779501638987,0.235186392358168
15135,0.5,0.411681693421323,0.416572137737956,0.405065394764038,0.23400730374159
15211,0.404856680026285,0.500000994735198,0.4119815444889,0.416312394658805,0.233065528125542
15280,0.500001975358501,0.411653336818084,0.416408843378205,0.404963297738832,0.234162937493127
15338,0.500000995954896,0.411955082957733,0.416338781872216,0.40487955980925,0.233949344125406
15411,0.416039149996658,0.404347877388792,0.500002932142044,0.411656561644123,0.234084670150378
15486,0.416074440960989,0.404005490295794,0.500002932142044,0.411213935227914,0.233823097146669
15547,0.416039194878698,0.404559913419817,0.5,0.411356313138015,0.234026345516815
15617,0.500002031740238,0.41123514112257,0.4161730620029,0.40453295040888,0.23358259766985
15674,0.500002121318307,0.411595574654388,0.41623825053328,0.404744795280566,0.234214303787406
15744,0.500002984982273,0.411792587598001,0.415936225478975,0.404409741463577,0.23396052416467
15811,0.416024422015917,0.404306515851977,0.500000982769068,0.411293991560264,0.234878813373326
15879,0.415189105643948,0.403614500581079,0.500002086162332,0.410469488866711,0.234317869593973
15939,0.500002031740238,0.411738371279675,0.416197252091373,0.40439847274842,0.233470528861801
16012,0.415978920553211,0.404090787909244,0.500001998668609,0.411210955254525,0.234188094434465
16083,0.404153333506185,0.50000105024725,0.410801365646474,0.415820701832586,0.233920398329653
16146,0.5,0.410644985351559,0.415604800566707,0.40401848727256,0.234240860637465
16204,0.416231011697449,0.404152161829089,0.500002205027904,0.410997926142776,0.234287559764626
16279,0.416128772106732,0.404524742098965,0.500002036373393,0.411427085518491,0.235108602167194
16338,0.5,0.411359132307785,0.416260748840187,0.404479665193098,0.234261662560838
16413,0.5,0.411752876927563,0.41607913397942,0.404514377847198,0.233922700553655
16473,0.500002111000636,0.411320527652027,0.416270745189866,0.404754747555218,0.233560127400285
16545,0.500001032600885,0.411796146418374,0.416493889932647,0.404234591819554,0.23389580552138
16617,0.50000297697389,0.411350786159939,0.4161434983582,0.404374099745519,0.23414107325779
16673,0.500002062004914,0.411923180062732,0.416568914492049,0.404744524510427,0.233373956720978
16748,0.500002062004914,0.411592606484429,0.416568565313222,0.404841165141827,0.233723343840298
16807,0.5,0.410820129284858,0.415531346265586,0.403948237292406,0.23390401480169
16878,0.415567787083866,0.404242781623043,0.50000199026819,0.410626594097153,0.23501622692234
16942,0.415935581544223,0.40442857692541,0.500001017902353,0.411478389561982,0.235053301082108
17010,0.415601059907643,0.403735497435,0.50000199026819,0.410902177270277,0.234013537534126
17083,0.415678322604373,0.403845617753093,0.50000199026819,0.411169330295318,0.234371204020867
17142,0.41117680860019,0.416306797343643,0.404273707498425,0.500002031344195,0.23341762504525
17212,0.5,0.411186091367642,0.415888024269608,0.404045987063934,0.234266278526296
17276,0.410902827321885,0.415660372768388,0.404049546770982,0.500002979007844,0.232931527201244
17349,0.411437411921021,0.416095098169627,0.404509883133067,0.500002031344195,0.234145282685193
17410,0.50000100218329,0.410377838294863,0.415703161108648,0.403773168564149,0.234436439291678
17480,0.50000100218329,0.41096874209592,0.415846049145799,0.403821245083341,0.233045996000568
17542,0.500002034517214,0.411215548095969,0.415827558393075,0.403515164058548,0.233402833527706
17611,0.500002034517214,0.410773852276144,0.416027049896802,0.403445609267993,0.233543122864912
17679,0.416466970263253,0.404568999204294,0.5,0.411709825782994,0.235423510675533
17743,0.415936153417362,0.40407956725061,0.500002064764177,0.411349059458804,0.234287352318773
17814,0.416231698185104,0.404573413765403,0.5,0.411619189474633,0.235444293238508
17874,0.416372340335028,0.404981461668871,0.5,0.412191875434478,0.234654097532402
17943,0.500002041996239,0.410822591611063,0.415836812413635,0.404208100657589,0.233221599664143
18011,0.500002041996239,0.411216190845741,0.415976386213267,0.404322870971792,0.232470692390206
18081,0.5,0.410603720817388,0.41522315788059,0.403262919038647,0.232725049193147
18140,0.410197450189628,0.415448603352916,0.403210200637612,0.50000105482043,0.23362824676217
18207,0.500002041996239,0.411082806579942,0.41595319534683,0.404039990752304,0.232521383711039
18278,0.416426430153016,0.404146476239339,0.500000981889331,0.411555358624245,0.23434348093298
18343,0.403845828186975,0.500000949230325,0.41113467536427,0.415391711627962,0.232050556146213
18412,0.5,0.41033867592913,0.414970054752811,0.403482330600736,0.233061320088171
18474,0.4035750092828,0.500000949230325,0.410683143941801,0.41565913079712,0.2317343314421
18548,0.404132330278013,0.500000949230325,0.411059249875974,0.415800280947649,0.231962119090878
18618,0.500002011630631,0.411657966311629,0.416225417897834,0.404715042183152,0.232521528982266
18667,0.500002011630631,0.411795040203747,0.416125523721736,0.404683269590098,0.233073118385469
18747,0.500002011630631,0.411918763346229,0.416167647985573,0.404598233132465,0.232683778769696
18810,0.500002011630631,0.411770577234682,0.416561148274586,0.404494970799398,0.231826578841801
18886,0.403467357813495,0.500000949230325,0.410922654448979,0.415670987607837,0.232552794473656
18940,0.500000000000042,0.411572281069729,0.416241502860319,0.404477606290662,0.231599078229333
19017,0.403692703103884,0.500000949230325,0.411154497350621,0.415440924908142,0.232075129565332
19073,0.403772447429819,0.500000949230325,0.410506697918605,0.415535307496957,0.232158080730917
